Nombre De La Finca,Dpto,Municipio,Corregimiento,Vereda/Sector,Area (Has),Altura M.S.N.M.,T (°C),Pp (Mm/Año),Tipo Suelo,Pendiente,Nivel Tecnlogico,Tenencia del predio,Agua Propia, Acueducto,Energ Electrica,Gas Natural,E Internet,Analisis De Suelos,Cultivo,Variedad,Area Cultivada (Has),Produccion (Kg),% Al Mercado,Forma Venta,Sitio Venta,Forma Pago,Participacion En Produccion,Especie,Raza,Numero,Produccion,Participacion Produccion,Tipo Organización,Nombre De La Organización,Longitud (W),Latitud (N)
El Pensil,Valle,Palmira,Pampa,Vereda el Jigual,"1,29",1.084,24,1200,Fr- Ar,Plana,Medio,Propio,Si,No,Si,No,No,No,Caña de Azucar,CC-8592,"1,29",150,100,Directa,Trapiche,Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,24521","3,58403"
El Lote,Valle,Palmira,Tablones,Via  Tablones Los Ceibos,"0,633",1.159,24,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,No,No,No,No,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","0,63",1100,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,20224","3,61438"
Mi Lucha,Valle,Palmira,Bolo la Italia,Via las palmas hacia el norte (Japones),1,992,29,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,Si,Si,Si,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)",1,Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,Asobolai,"-76,31754","3,47453"
La Palma,Valle,Palmira,Bolo la Italia,Sector la Palma,"0,64",998,31,1200,Fr- Ar,Plana,Medio,Propio,Si,No,Si,No,No,No,Tomate zona plana,Tomate zona plana,"0,64",1500,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Asociacion ,Asobolos,"-76,32965","3,46982"
El Besubio,Valle,Palmira,Bolo San Isidro,Callejon Yerbabuena,"0,64",991,31,1200,Fr- Ar,Plana,Medio,Propio,Si,No,Si,No,No,No,"Guayaba (Psidium guajava, L.)",Guayaba pera Psidium acutangulum,"0,64",800,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32986","3,45834"
El Ensueño,Valle,Palmira,Bolo San Isidro,Callejon la Trocha,3,937,31,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,Si,Si,No,Frutales,Varias,"2,5",3500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,33956","3,47193"
La Italia,Valle,Palmira,Bolo la Italia,Calle Grano de Oro,"1,92",993,31,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,Si,Si,No,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","1,92",1500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32345","3,46675"
Callejon Nashira,Valle,Palmira,Bolo el Progreso,Vía Callejon Nashira,"1,28",952,29,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,Si,Si,No,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","1,28",800,"0,98",Directa,Galeria,Efectivo,no,no,no,no,no,no,Asociacion ,Agrobolos,"-76,33694","3,4653"
Grano de Oro,Valle,Palmira,Bolo la Italia,Calle Grano de Oro,"1,28",998,31,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,No,Si,No,No,No," Carioca
Papaya",Papaya Nacional,"1,28",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,Agrobolos,"-76,32655","3,46007"
Gagolandia,Valle,Palmira,Barrancas,Crucero Pablo Rojas,"0,32",1.096,28,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,Si,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","0,32",300,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,24563","3,54801"
Fca Japones,Valle,Palmira,Bolo la Italia,Callejon Japones,3,998,31,1200,Fr- Ar,Plana,Profesional,Arrendamiento,Si,No,Si,No,No,No,Carioca papaya,Papaya Nacional,3,Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,31815","3,47517"
Lote Avila,Valle,Palmira,Rozo,Callejon la Unión,"0,44",914,25,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,Si,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","0,44",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,38979","3,61891"
Siete Palmas,Valle,Palmira,Bolo San Isidro,Via principal,"0,64",987,28,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,No,No,No,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","0,64",1500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,33471","3,47233"
Peñiscola,Valle,Palmira,Matapalo,Peñiscola,"0,64",934,23,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,Si,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","0,34",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,411","3,58942"
Finca Ruben,Valle,Palmira,Bolo Alizal,Callejon San Pablo,"1,28",981,28,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,Si,Si,Si,Si,No," Carioca
Papaya",Papaya Nacional,"1,28",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,Agrobolos,"-76,38026","3,45649"
San Rafael,Valle,Palmira,Bolo San Isidro,Calle Grano de Oro,"1,5",955,29,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,No,No,No,"Guayaba (Psidium guajava, L.)",Guayaba pera Psidium acutangulum,"1,5",4000,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32947","3,46539"
Villa Wendy,Valle,Palmira,Bolo San Isidro,Calle Grano de Oro,"0,5",1.003,26,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,Si,No,No,Maiz tradicional,Maiz tradicional,"0,5",100,"0,98",Tiendas,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32774","3,46549"
El Cerezo,Valle,Palmira,Bolo San Isidro,Callejon la Playa,2,997,25,1200,Fr- Ar,Plana,Medio,Arrendamiento,Si,Si,Si,No,No,No," Carioca
Papaya",Papaya Nacional,2,Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32363","3,46447"
Finca Escobar,Valle,Palmira,Bolo San Isidro,Calle Grano de Oro,"1,5",990,27,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,No,No,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","1,5",1350,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32962","3,46565"
La Esperanza,Valle,Palmira,Bolo la Italia,Callejon la Playa,"2,3",935,23,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,No,No,No,"Guayaba (Psidium guajava, L.)",Guayaba pera Psidium acutangulum,"2,3",500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32932","3,46517"
Maria Damaris,Valle,Palmira,Tablones,Callejon la Balastrera,"0,32",1.144,24,1200,Fr- Ar,Moderada,Medio,Propio,No,Si,Si,No,No,No,Citricos,Varias,"0,32",150,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19835","3,59533"
Ebenecer,Valle,Palmira,Tablones,Callejon la Balastrera,"0,32",1.177,24,1200,Fr- Ar,Moderada,Medio,Propio,No,Si,Si,No,No,No,Citricos,Varias,"0,32",100,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19818","3,59566"
El Limonar,Valle,Palmira,Tablones,Callejon la Balastrera,"1,5",1.231,19,1200,Fr- Ar,Moderada,Profesional,Propio,Si,Si,Si,Si,Si,No,Citricos,Varias,"1,5",500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19548","3,59449"
Doña Nelly,Valle,Palmira,Tablones,Callejon la Balastrera,"3,5",1.209,18,1200,Fr- Ar,Moderada,Medio,Propio,Si,Si,Si,Si,No,No,Citricos,Varias,"3,5",500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19671","3,59466"
Bella vista,Valle,Palmira,Tablones,Callejon la Balastrera,"0,32",1.203,21,1200,Fr- Ar,Moderada,Medio,Propio,No,Si,Si,Si,No,No,Citricos,Varias,"0,32",120,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19798","3,59554"
El Eden,Valle,Palmira,Tablones,Callejon la Balastrera,"0,48",1.144,20,1200,Fr- Ar,Moderada,Profesional,Propio,si,Si,Si,Si,Si,No,Citricos,Varias,"0,48",250,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,Comité Veredal,"-76,19734","3,59493"
La Esperanza,Valle,Palmira,Tablones,Callejon la Balastrera,"0,32",1.144,20,1200,Fr- Ar,Moderada,Medio,Propio,No,Si,Si,Si,No,No,Citricos,Varias,"0,32",120,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19855","3,5952"
Belmonte,Valle,Palmira,Tablones,Callejon la Balastrera,"1,5",1.177,21,1200,Fr- Ar,Moderada,Medio,Mayordomo,Si,Si,Si,Si,Si,No,Citricos,Varias,"1,5",700,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19872","3,59366"
Laureano,Valle,Palmira,Tablones,Callejon la Balastrera,"0,32",1.124,20,1200,Fr- Ar,Moderada,Basico,Mayordomo,No,Si,Si,Si,Si,No,Citricos,Varias,"0,32",150,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19897","3,59551"
Los Tian,Valle,Palmira,Tablones,Callejon la Balastrera,"0,45",1.187,20,1200,Fr- Ar,Moderada,Basico,Mayordomo,No,Si,Si,Si,Si,No,Citricos,Varias,"0,45",120,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,19952","3,5955"
Fca Escandon,Valle,Palmira,Bolo la Italia,Callejon Escandon,"1,3",1.002,27,1200,Fr- Ar,Moderada,Medio,Arrendamiento,Si,No,No,No,No,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","1,2",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Asociacion ,Asobolos,"-76,33424","3,47183"
La Fé,Valle,Palmira,Tablones,Callejon la Balastrera,"3,5",1.178,22,1200,Fr- Ar,Moderada,Basico,Propio,Si,Si,Si,Si,No,No,Theobroma Cacao,Theobroma Cacao,"1,2",2000,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,20029","3,59516"
N.T,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,2",1384,22,1000,no,0 a 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,GALLINAS,CRIOLLAS,19,19 HUEVOS DIA,no,no,no,"-76,20488","3,49359"
Lote Rozo,Valle,Palmira,Rozo,Callejon Rozo,"0,64",950,23,1200,Fr- Ar,Plana,Profesional,Arrendamiento,Si,No,Si,No,No,No," Carioca
Papaya",Papaya Tainu,"0,64",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,38975","3,61557"
Lote Marina,Valle,Palmira,Rozo,Callejon la Marina,"1,5",986,22,1200,Fr- Ar,Plana,Profesional,Arrendamiento,Si,No,Si,Si,No,No,Aji tapasco,Aji tapasco,"1,5",1400,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,38132","3,60076"
La Esperanza,Valle,Palmira,Rozo,Callejon la Unión,"0,5",995,25,1200,Fr- Ar,Plana,Basico,Propio,Si,Si,Si,Si,Si,Si,Citricos,Varias,"0,3",350,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,38132","3,60074"
Los Limones,Valle,Palmira,Rozo,Av. 9 8-60,"0,8",982,25,1200,Fr- Ar,Plana,Basico,Propio,Si,Si,Si,Si,Si,Si,Citricos,Varias,"0,4",500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,38846","3,61841"
La Trinidad,Valle,Palmira,Bolo la Italia,Callejon la Playa,2,995,28,1200,Fr- Ar,Plana,Medio,Propio,Si,Si,Si,Si,Si,No,"Guayaba (Psidium guajava, L.)",Guayaba pera Psidium acutangulum,2,2000,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,3194","3,46204"
Blanca Flor,Valle,Palmira,Bolo la Italia,Callejon las Palmas,"1,5",976,26,1200,Fr- Ar,Plana,Medio,Mayordomo,Si,Si,Si,Si,Si,No,Citricos,Varias,"1,5",550,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,32726","3,46874"
La Esperanza,Valle,Palmira,Obando,Cgto Obando Casa 129,"0,44",914,25,1200,Fr- Ar,Plana,Medio,Propio,Si,No,Si,Si,Si,No,"Maracuya
(Pasiflora edulis L.)
","Flavicarpa
(Degener)","0,44",Plantilla,"0,98",Intermediario,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,39225","3,56926"
El Limonar,Valle,Palmira,Bolo Alizal,Callejon La Virgen,"0,64",977,24,1200,Fr- Ar,Plana,Profesional,Propio,Si,Si,Si,Si,No,Si,Citricos,Varias,"0,64",500,"0,98",Directa,"Finca
Plaza",Efectivo,no,no,no,no,no,no,Ninguna ,Ninguna,"-76,3546","3,46147"
LA ACUARELITA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,15",1401,19,1000,FRAR,0 A 3,BAJO,FAMILIAR,NO,SI,NO,NO,NO,NO,AGUACATE ,CHOQUET/ A 6 MESES DE SIEMBRA,"0,15",0,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20818","3,490801"
LA ACUARELITA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,15",1403,19,1000,FRAR,0 A   3,BAJO,FAMILIAR,NO,SI,NO,NO,NO,NO,AGUACATE,CHOQUET/ A 6 MESES DE SIEMBRA,"0,15",0,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20816","3,4908"
LOS COTAZO,VALLE,PALMIRA,AYACUCHO,LOS ANGELES,"0,07",1409,18°,1000,FRAR,0 a 3%,BAJO,FAMILIAR,NO,SI,SI,SI,NO,NO,no,no,no,no,no,no,no,no,no,PORCICOLA,PIETRAN,1,CARNE,no,no,no,"-76,207442","3,494581"
LOS COTAZO,VALLE,PALMIRA,AYACUCHO,LOS ANGELES,"0,07",1409,18°,1000,FRAR,0 a 3%,BAJO,FAMILIAR,NO,SI,SI,SI,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,ISSA,15,15.HUEVOS,no,no,no,"-76,207483","3,494608"
LA PALMA,Valle,Palmira,Ayacucho,Mezon,"2,336",1610,18°,1000,FRAR,3 A 6%,Medio,Propietario,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,Bovina,doble proposito,4,12 litros dia,no,no,no,"-76,185521","3,49721"
PALMIRA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,2",1421,18,1000,FRAR,0 a 3%,MEDIO,FAMILIAR,NO,SI,SI,NO,SI,NO,TOMATE DE ARBOL,CRIOLLO,"0,05",16,0,no,no,no,no,no,no,no,no,no,no,no,"-76,206654","3,492823"
no,VALLE,PALMIRA,AYACUCHO,ARENILLO,"0,1",1690,18,1000,FRAR,3 A 6%,BAJO,FAMILIAR,SI,SI,SI,NO,NO,NO,BANANO,COMUN,"0,05",45,0,no,no,no,100%,no,no,no,no,no,no,no,"-76,1858","3,483292"
no,VALLE,PALMIRA,AYACUCHO,ARENILLO,"0,64",1706,18°,1000,FRAR,6  A 9,BAJO,FAMILIAR,SI,SI,SI,NO,SI,NO,no,no,no,no,no,no,no,no,no,AVICOLA,CRIOLLAS,40,35 HUEVOS,no,no,no,"-76,1856","3,483284"
LAGRANJA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,02",1408,18°,1000,FRAR,0 a 3%,BAJO,FAMILIAR,NO,SI,SI,SI,SI,NO,YUCA -CILANTRO,no,"0,02",25,0,no,no,no,100,no,no,no,no,no,no,no,"-76,202314","3,494954"
no,VALLE,PALMIRA,AYACUCHO,ARENILLO,3,1710,18°,1000,FRAR,3 A 6%,BAJO,ALQUILADO,SI,SI,NO,NO,NO,NO,no,no,no,no,no,no,no,no,no,BOVINA,VARIAS,8,32 BOT/LECHE,no,no,no,"-76,185801","3,483291"
EMANUEL,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,6",1402,18°,1000,no,0 a 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,FINCA,EFECTIVO,100,CERDOS,PIETRAN,17,1700,no,no,no,"-76,202316","3,494821"
VILLA MILENA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,09",1275,24,1000,FrAr,0 a 3%,MEDIO,APARCERO,SI,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,LOHMAN BRAWN,34,19 HUEVOS DIAS,no,Asociación,ASOCCHO,"-76,202614","3,4932"
CALLEJON LOS ANGELES,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,02",1275,24,1000,FrAr,0 a 3%,MEDIO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,LOHMAN BRAWN,17,16 HUEVOS DIAS,no,Asociación,ASOCCHO,"-76,207421","3,494625"
EL PORVENIR,VALLE,PALMIRA,AYACUCHO,CHONTADURO,18,1611,22,1000,no,0 a 3%,BAJO,APARCERIA,NO,SI,SI,NO,NO,NO,BANANO,GROSS MICHAEL,"0,3",150,60,no,no,no,60%,no,no,no,no,no,ASOCIACIÓN,ASONCAR,"-76,20743","3,494254"
CHONTADURO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,014",1208,22,1000,FRAR,0 A 2%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,GALLINAS,21,HUEVOS,no,no,no,"-76,20741","3,494361"
LA ESMERALDA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,6",1395,22,1000,no,0 a 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,FLORES -CILANTRO,ELICONIAS-COMUN,"0,28",70,60,DIRECTA,no,EFECTIVO,100,no,no,no,no,no,no,no,"-76,207421","3,497079"
LA RIVERA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,15",1380,22,1000,no,0 a 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,CITRICOS,NARANJA -MANDARINA,"0,1",40,0,no,no,no,no,no,no,no,no,no,no,no,"-76,2031","3,496152"
LAS VERANERAS,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,25",1374,22,1000,no,0 a 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO-CITRICOS,COMUN-NARANJA,"0,1",41,0,no,no,no,no,no,no,no,no,no,no,no,"-76,203425","3,496254"
LA PIRAMIDE,VALLE,PALMIRA,AYACUCHO,CHONTADURO,0,1402,22,1000,no,no,BAJO,PROPIA,no,no,no,no,no,no,BANANO-POLLOS,OMUN-COOC,no,40,no,no,no,no,no,no,no,no,no,no,no,no,"-76,204544","3,494017"
VILLA LINA,VALLE,PALMIRA,AYACUCHO,CHONTADURO,1,1395,22,1000,no,no,BAJO,PROPIA,no,no,no,no,no,no,BANANO-GALLINAS,COMUN-NARANJA,"0,4",40,no,no,no,no,no,no,no,no,no,no,no,no,"-76,20457","3,494018"
PIRAMIDE,VALLE,PALMIRA,AYACUCHOC,CHONTADURO,0,1384,22,1000,no,no,BAJO,PROPIA,NO,SI,SI,NO,SI,NO,CITRICOS,NARANJA SWETY,"0,25",en floracion,no,no,no,no,no,no,no,no,no,no,no,no,"-76,20519","3,493289"
EL RINCONCITO,VALLE,PALMIRA,AYACUCHO,CHONTADURO,3,1380,22,1000,no,0.4,BAJO,PROPIA,NO,SI,NO,NO,NO,NO,HABICHUELA,no,"0,9",ESTABLECIENDO,no,no,no,no,no,no,no,no,no,no,no,no,"-76,208277","3,492168"
no,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MEZON,2,1402,18,1000,FRAR,3 A 7%,MEDIO,PROPIETARIO,SI,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,BOVINA,DOBLE PROPOSITO,2,6 LITROS DIA,NO,ASOCIACIÓN,no,"-76,185542","3,49724"
10-119,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,07",1210,22,1000,FRAR,0 A 3%,MEDIO,PROPIETARIO,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,LOHMAN BRAWN,17,15 HUEVOS DIA,NO,ASOCIACIÓN,ASOCCHO,"-76,204521","3,494011"
2K-516,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN  / LA CASETA,2,1544,18,1000,no,PENDIENTE,BAJO,PROPIETARIA SIN TITULO,NO,SI,SI,NO,NO,NO,BANANO,COMÚN,"0,3",180,40,DIRECTA,FINCA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,190278","3,497222"
EL SENDERO II,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LA CAPILLA,3,1630,18,1000,no,ONDULADO,BAJO,FAMILIAR,NO,SI,SI,NO,NO,NO,MANZANA / AROMATICAS,SALAMINA,"0,7",100,50,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,185556","3,496389"
VILLA INDIA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LA CAPILLA,1,1610,18,1000,no,SEMIPLANO,BAJO,ADMINISTRA,NO,SI,SI,NO,NO,NO,HORTALIZAS,HABICHUELA,"0,25",112,no,DIRECTA,FINCA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,186944","3,484722"
LA GRANJA DE JOSELITO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LA CAPILLA,0,1586,18,1000,no,PLANO,BAJO,PROPIETARIA,NO,SI,SI,NO,NO,NO,HORTALIZAS,VARIAS,"0,25",450,50,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,190556","3,497778"
